Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,0,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,0,0,12.9,0.38,0.048,0.67,44,525,129,0,0,10.4,44,525,0,129,0.275,84.56,80.74,0.96,0.14,1011,1.3,244,3.1,0.0000,0.0000
2006,1,1,0,30,12.200000000000001,0.38,0.048,0.67,28,320,54,0,1,10.4,28,320,0,54,0.275,88.52,85.44,0.96,0.14,1011,1.3,239,2.9000000000000004,0.0000,0.0000
2006,1,1,1,0,11.5,0.4,0.049,0.67,0,0,0,0,1,10.4,0,0,0,0,0.275,92.79,90.09,0.96,0.14,1012,1.3,234,2.6,0.0000,0.0000
2006,1,1,1,30,11.3,0.4,0.049,0.67,0,0,0,0,0,10.4,0,0,0,0,0.275,94.03,95.96000000000001,0.96,0.14,1012,1.3,228,2.6,0.0000,0.0000
2006,1,1,2,0,11,0.4,0.05,0.67,0,0,0,0,0,10.4,0,0,0,0,0.275,96.4,101.43,0.96,0.14,1013,1.3,221,2.6,0.0000,0.0000
2006,1,1,2,30,10.9,0.4,0.05,0.67,0,0,0,0,0,10.4,0,0,0,0,0.275,97.04,107.06,0.96,0.14,1013,1.4000000000000001,214,2.6,0.0000,0.0000
2006,1,1,3,0,10.700000000000001,0.42,0.048,0.67,0,0,0,0,0,10.5,0,0,0,0,0.274,98.88,112.8,0.96,0.14,1013,1.4000000000000001,207,2.7,0.0000,0.0000
2006,1,1,3,30,10.700000000000001,0.42,0.048,0.67,0,0,0,0,0,10.5,0,0,0,0,0.273,98.98,118.63,0.9500000000000001,0.14,1014,1.4000000000000001,201,2.7,0.0000,0.0000
2006,1,1,4,0,10.600000000000001,0.46,0.044,0.67,0,0,0,0,0,10.600000000000001,0,0,0,0,0.273,100,124.53,0.9500000000000001,0.14,1014,1.4000000000000001,194,2.8000000000000003,0.0000,0.0000
2006,1,1,4,30,10.600000000000001,0.46,0.044,0.67,0,0,0,0,0,10.600000000000001,0,0,0,0,0.272,100,130.45,0.9500000000000001,0.14,1014,1.4000000000000001,186,2.9000000000000004,0.0000,0.0000
