Timestamp,Solar_Wh,House_Load_Wh,SoC_%,Grid_Net_Wh,Cloud_Cov,Inverter_OK
2026-05-01 00:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 01:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 02:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 03:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 04:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 05:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 06:00,0.00,500.00,0.00,-500.00,0.08,True
2026-05-01 07:00,1185.38,500.00,4.82,0.00,0.08,True
2026-05-01 08:00,2289.98,500.00,17.42,0.00,0.08,True
2026-05-01 09:00,3238.51,500.00,36.69,0.00,0.08,True
2026-05-01 10:00,3966.35,500.00,61.08,0.00,0.08,True
2026-05-01 11:00,4423.89,500.00,85.71,0.00,0.08,True
2026-05-01 12:00,4579.95,500.00,100.00,1469.70,0.08,True
2026-05-01 13:00,4423.89,500.00,100.00,3500.00,0.08,True
2026-05-01 14:00,3966.35,500.00,100.00,3466.35,0.08,True
2026-05-01 15:00,3238.51,500.00,100.00,2738.51,0.08,True
2026-05-01 16:00,2289.98,500.00,100.00,1789.98,0.08,True
2026-05-01 17:00,1185.38,500.00,100.00,685.38,0.08,True
2026-05-01 18:00,0.00,500.00,96.10,0.00,0.08,True
2026-05-01 19:00,0.00,500.00,92.20,0.00,0.08,True
2026-05-01 20:00,0.00,500.00,88.30,0.00,0.08,True
2026-05-01 21:00,0.00,500.00,84.41,0.00,0.08,True
2026-05-01 22:00,0.00,500.00,80.51,0.00,0.08,True
2026-05-01 23:00,0.00,500.00,76.61,0.00,0.08,True
2026-05-02 00:00,0.00,500.00,72.71,0.00,0.52,True
2026-05-02 01:00,0.00,500.00,68.81,0.00,0.52,True
2026-05-02 02:00,0.00,500.00,64.91,0.00,0.52,True
2026-05-02 03:00,0.00,500.00,61.01,0.00,0.52,True
2026-05-02 04:00,0.00,500.00,57.12,0.00,0.52,True
2026-05-02 05:00,0.00,500.00,53.22,0.00,0.52,True
2026-05-02 06:00,0.00,500.00,49.32,0.00,0.52,True
