GHI,Temperature,Relative Humidity,Solar Zenith Angle,Cloud Type,Clearsky GHI,Power_MW
91.5,12.55,86.53999999999999,83.09,0.5,91.5,0.0
0.0,10.05,100.0,160.53,0.0,0.0,1.1
0.0,9.95,100.0,164.885,0.0,0.0,9.1
0.0,9.75,100.0,160.01500000000001,0.0,0.0,15.0
0.0,9.55,99.58500000000001,150.02499999999998,4.0,0.0,18.4
0.0,9.3,98.27000000000001,138.565,7.0,0.0,7.6
0.0,9.450000000000001,94.42,126.75,7.0,0.0,8.6
0.0,9.9,89.84,114.98500000000001,7.0,0.0,9.6
0.0,10.400000000000002,87.78999999999999,103.535,6.0,0.0,5.5
25.0,12.100000000000001,86.595,82.48,6.0,89.0,0.0
13.0,12.75,86.185,73.785,6.0,232.5,0.0
81.5,13.150000000000002,85.92,66.845,7.5,357.5,0.0
52.0,13.3,87.1,62.335,7.5,436.5,0.0
114.5,13.4,88.355,60.81,6.0,464.0,0.0
64.0,13.55,89.185,62.495000000000005,7.0,429.0,0.0
22.0,13.700000000000001,91.22,67.14500000000001,7.0,347.5,0.0
28.5,13.8,93.55,74.19,6.5,226.0,0.0
30.0,13.55,95.46000000000001,82.96000000000001,6.0,85.0,0.0
0.0,11.05,95.58500000000001,164.8,6.0,0.0,2.3
0.0,10.8,96.26,160.015,6.0,0.0,0.4
0.0,10.850000000000001,95.74000000000001,150.06,6.0,0.0,3.2
0.0,10.95,95.44,138.61,7.5,0.0,4.5
0.0,11.100000000000001,95.02,126.79499999999999,6.0,0.0,5.1
0.0,10.95,94.87,115.025,6.0,0.0,6.7
0.0,10.8,94.44,103.57,6.0,0.0,4.6
0.0,10.8,93.11500000000001,92.425,6.5,0.0,0.1
40.5,11.05,92.26500000000001,82.49000000000001,7.5,98.0,0.0
23.0,11.25,91.53,73.775,7.0,250.0,0.0
73.5,11.5,90.535,66.81,6.0,376.5,0.0
31.5,11.55,88.795,62.27,6.0,458.0,0.0
184.0,11.350000000000001,88.11500000000001,60.715,7.0,487.5,0.0
77.0,11.25,87.87,62.38,6.0,457.0,0.0
80.5,11.350000000000001,87.17500000000001,67.02000000000001,6.0,373.0,0.0
27.5,11.5,87.935,74.055,7.0,246.0,0.0
46.5,11.350000000000001,89.8,82.82,7.0,93.0,0.0
0.0,8.95,90.065,160.26,0.0,0.0,1.1
0.0,8.9,88.49,164.71,0.0,0.0,9.0
0.0,8.850000000000001,87.275,160.005,0.0,0.0,14.6
0.0,8.65,87.715,150.09,7.0,0.0,18.4
0.0,8.55,89.45,138.65,7.0,0.0,20.2
0.0,8.75,90.405,126.83500000000001,7.0,0.0,17.8
0.0,9.3,90.69,115.065,6.0,0.0,10.8
0.0,9.700000000000001,91.065,103.6,6.5,0.0,8.5
0.0,10.05,91.5,92.435,6.0,0.0,1.3
14.0,10.75,90.56,82.49000000000001,6.0,97.5,0.0
38.5,11.75,89.11500000000001,73.755,6.0,248.0,0.0
126.0,12.75,86.545,66.765,6.0,375.5,0.0
119.0,13.600000000000001,81.62,62.2,6.0,457.5,0.0
115.0,13.850000000000001,78.685,60.620000000000005,6.0,485.0,0.0
84.0,13.700000000000001,79.465,62.265,6.0,445.5,0.0
65.0,13.3,82.455,66.885,6.0,356.5,0.0
81.5,12.95,85.795,73.91499999999999,7.0,225.5,0.0
21.0,12.8,88.10000000000001,82.68,7.0,82.0,0.0
0.0,12.95,93.685,160.115,7.0,0.0,0.7
0.0,12.850000000000001,93.495,164.61,7.5,0.0,8.2
0.0,12.650000000000002,93.655,159.99,7.0,0.0,14.1
0.0,12.55,93.48500000000001,150.11,7.0,0.0,18.0
0.0,12.45,92.95500000000001,138.685,7.0,0.0,19.7
0.0,12.3,92.10000000000001,126.875,7.0,0.0,19.6
0.0,12.200000000000001,90.92,115.1,6.5,0.0,18.0
0.0,12.100000000000001,89.805,103.625,6.0,0.0,14.0
0.0,12.25,87.455,92.45,6.5,0.0,7.0
53.0,12.8,85.78999999999999,82.49000000000001,7.0,93.5,0.0
244.5,13.600000000000001,80.385,73.73,0.0,244.5,0.0
380.0,14.850000000000001,77.175,66.715,0.0,380.0,0.0
464.5,16.15,72.655,62.120000000000005,0.0,464.5,0.0
493.0,16.75,70.84,60.515,0.0,493.0,0.0
464.5,16.950000000000003,70.405,62.135000000000005,0.0,464.5,0.0
381.0,16.65,71.705,66.745,0.0,381.0,0.0
251.5,15.850000000000001,75.955,73.765,0.5,251.5,0.0
99.5,14.15,85.485,82.53,1.0,99.5,0.0
0.0,10.05,92.17,159.965,1.0,0.0,1.0
0.0,9.8,92.325,164.51,0.5,0.0,8.6
0.0,9.55,92.67,159.965,1.5,0.0,14.1
0.0,9.4,92.25,150.125,2.0,0.0,17.8
0.0,9.350000000000001,91.07,138.715,4.0,0.0,19.5
0.0,9.200000000000001,90.79,126.905,6.0,0.0,19.4
0.0,9.1,90.49,115.13,7.0,0.0,17.4
0.0,9.1,89.68,103.64500000000001,7.0,0.0,13.9
0.0,9.350000000000001,87.78,92.45500000000001,7.0,0.0,7.0
42.5,10.350000000000001,84.67500000000001,82.475,5.5,103.0,0.0
156.5,11.400000000000002,80.27000000000001,73.7,3.5,259.5,0.0
313.0,12.55,76.35000000000001,66.66,5.5,393.0,0.0
389.0,13.65,74.68,62.035000000000004,7.5,481.0,0.0
413.5,14.5,73.255,60.405,7.0,511.0,0.0
442.0,14.95,73.225,62.005,3.5,479.0,0.0
289.0,15.0,74.89,66.595,5.5,393.0,0.0
209.5,14.3,81.02000000000001,73.61500000000001,7.0,260.5,0.0
77.0,12.850000000000001,87.86500000000001,82.38,7.5,104.0,0.0
0.0,9.700000000000001,98.09,159.815,4.0,0.0,0.9
0.0,9.600000000000001,97.65,164.39,7.0,0.0,8.1
0.0,9.5,97.36,159.93,7.0,0.0,13.7
0.0,9.5,96.325,150.135,5.0,0.0,17.7
0.0,9.55,94.825,138.74,2.0,0.0,19.8
0.0,9.45,94.075,126.93,3.0,0.0,19.9
0.0,9.350000000000001,93.095,115.15,0.5,0.0,17.5
0.0,9.200000000000001,92.35000000000001,103.66,1.0,0.0,13.8
0.0,9.450000000000001,89.69,92.46000000000001,2.0,0.0,7.1
84.5,10.450000000000001,86.57,82.46000000000001,7.0,104.5,0.0
204.0,11.5,81.89,73.665,5.0,263.5,0.0
400.5,12.65,78.19,66.595,0.0,400.5,0.0
488.5,13.900000000000002,74.89,61.94,0.0,488.5,0.0
518.5,15.05,71.045,60.28,0.0,518.5,0.0
488.0,15.9,66.09,61.86,0.0,488.0,0.0
399.0,16.05,65.16499999999999,66.45,0.0,399.0,0.0
265.0,15.600000000000001,69.495,73.465,0.0,265.0,0.0
95.0,14.15,77.11500000000001,82.225,3.5,107.0,0.0
0.0,12.850000000000001,96.19,159.655,5.5,0.0,0.4
0.0,12.5,96.48,164.26999999999998,4.0,0.0,0.9
0.0,11.75,98.095,159.885,4.0,0.0,3.6
0.0,11.100000000000001,99.44,150.14,1.0,0.0,5.0
0.0,10.850000000000001,99.73,138.755,0.5,0.0,9.4
0.0,10.600000000000001,99.845,126.95500000000001,0.0,0.0,15.8
0.0,10.350000000000001,99.99000000000001,115.17,0.0,0.0,18.5
0.0,10.200000000000001,100.0,103.67000000000002,0.0,0.0,13.4
0.0,10.8,96.31,92.455,0.0,0.0,7.3
102.5,12.600000000000001,93.565,82.445,0.0,102.5,0.0
180.0,13.65,90.765,73.62,2.0,261.0,0.0
389.5,14.200000000000001,85.5,66.525,0.0,389.5,0.0
244.5,14.45,80.11000000000001,61.84,1.5,477.0,0.0
84.5,14.4,78.465,60.155,3.5,506.5,0.0
477.5,14.150000000000002,78.64500000000001,61.715,0.0,477.5,0.0
331.5,13.8,78.515,66.28999999999999,1.0,393.0,0.0
262.0,13.05,79.47,73.295,0.0,262.0,0.0
106.0,11.600000000000001,86.25999999999999,82.065,0.0,106.0,0.0
0.0,9.650000000000002,100.0,159.495,0.0,0.0,0.8
0.0,9.55,100.0,164.14000000000001,0.0,0.0,8.3
0.0,9.350000000000001,100.0,159.83499999999998,0.0,0.0,14.7
0.0,9.100000000000001,100.0,150.135,0.0,0.0,18.7
0.0,8.7,100.0,138.765,0.0,0.0,20.5
0.0,8.25,100.0,126.965,2.0,0.0,20.4
0.0,7.85,99.765,115.18,0.0,0.0,18.5
0.0,7.4,99.01,103.67000000000002,0.5,0.0,14.5
0.0,7.65,94.75999999999999,92.44,3.0,0.0,7.4
89.0,9.0,88.22,82.41,1.5,100.5,0.0
258.5,10.15,80.04,73.57000000000001,0.0,258.5,0.0
393.0,11.55,69.65,66.45,0.0,393.0,0.0
479.0,12.450000000000001,64.60499999999999,61.735,0.0,479.0,0.0
510.0,13.0,63.230000000000004,60.019999999999996,0.0,510.0,0.0
482.5,13.3,63.54,61.565,0.0,482.5,0.0
395.0,13.350000000000001,65.195,66.125,0.0,395.0,0.0
262.0,12.700000000000001,70.285,73.13499999999999,0.5,262.0,0.0
73.0,11.25,80.225,81.9,4.5,106.5,0.0
0.0,7.95,92.885,159.325,0.5,0.0,1.1
0.0,7.8500000000000005,93.725,164.005,0.0,0.0,8.6
0.0,7.7,94.25,159.775,0.0,0.0,14.4
0.0,7.6000000000000005,93.99,150.12,0.0,0.0,18.4
0.0,7.550000000000001,92.715,138.775,0.0,0.0,19.8
0.0,7.300000000000001,91.78999999999999,126.975,0.0,0.0,19.3
0.0,6.85,91.5,115.185,0.0,0.0,17.7
0.0,6.4,91.255,103.665,0.0,0.0,14.3
0.0,6.5,88.50999999999999,92.42500000000001,0.5,0.0,7.6
101.5,7.950000000000001,83.565,82.375,0.0,101.5,0.0
260.5,9.45,75.55,73.51,0.0,260.5,0.0
398.0,11.200000000000001,67.75,66.36,0.0,398.0,0.0
487.5,12.600000000000001,62.485,61.620000000000005,0.0,487.5,0.0
520.5,13.600000000000001,58.89,59.88,0.0,520.5,0.0
498.5,14.150000000000002,59.18000000000001,61.400000000000006,0.0,498.5,0.0
411.5,14.3,59.019999999999996,65.95500000000001,0.0,411.5,0.0
275.5,13.8,63.599999999999994,72.965,0.0,275.5,0.0
114.5,12.600000000000001,68.68,81.74000000000001,0.0,114.5,0.0
6.5,11.7,66.395,91.755,0.0,6.5,0.0
0.0,10.200000000000001,79.78,159.155,0.5,0.0,1.1
0.0,10.100000000000001,80.795,163.86,2.0,0.0,8.8
0.0,9.600000000000001,83.94,159.70999999999998,0.0,0.0,14.4
0.0,9.100000000000001,88.315,150.10500000000002,2.0,0.0,17.9
0.0,8.850000000000001,91.68,138.775,7.0,0.0,20.1
0.0,8.75,93.625,126.97999999999999,5.5,0.0,20.0
0.0,8.65,94.58000000000001,115.185,3.5,0.0,17.5
0.0,8.4,95.605,103.66,4.0,0.0,13.6
0.0,8.450000000000001,94.785,92.41,1.0,0.0,7.1
49.0,9.3,91.53,82.34,1.5,99.0,0.0
45.0,10.25,87.61500000000001,73.445,3.0,256.0,0.0
99.0,11.350000000000001,84.935,66.27,3.0,381.5,0.0
161.0,12.65,83.57000000000001,61.5,3.0,469.0,0.0
324.5,13.200000000000001,83.17,59.735,2.5,501.5,0.0
468.5,13.45,82.9,61.235,1.0,468.5,0.0
313.0,13.45,83.655,65.785,4.5,383.5,0.0
194.0,13.0,86.64500000000001,72.785,8.0,253.5,0.0
54.0,12.100000000000001,90.72,81.565,5.5,103.5,0.0
3.0,11.55,92.18,91.595,7.0,6.0,0.0
0.0,11.700000000000001,97.825,159.635,7.0,0.0,0.1
0.0,12.0,97.75,150.07999999999998,7.0,0.0,0.4
0.0,12.3,97.39,138.76999999999998,7.0,0.0,0.4
0.0,12.55,96.965,126.975,7.0,0.0,0.3
0.0,12.700000000000001,96.89,115.18,5.5,0.0,0.3
48.5,13.25,95.32,82.295,7.5,97.0,0.0
70.0,13.850000000000001,94.10499999999999,73.375,7.0,251.0,0.0
132.0,14.25,93.725,66.17,7.0,378.5,0.0
274.5,14.45,92.7,61.370000000000005,7.0,468.0,0.0
358.0,14.600000000000001,89.96000000000001,59.58,7.0,505.5,0.0
359.5,14.650000000000002,85.14500000000001,61.065,7.5,480.5,0.0
272.5,14.3,80.78,65.60499999999999,4.0,400.5,0.0
188.5,13.450000000000001,78.81,72.605,3.5,273.0,0.0
82.5,12.0,83.575,81.39500000000001,5.5,117.0,0.0
4.5,10.900000000000002,86.64,91.43,3.5,8.0,0.0
0.0,8.25,98.795,158.79500000000002,4.0,0.0,0.5
0.0,7.9,99.44,163.54500000000002,5.0,0.0,7.2
0.0,7.550000000000001,99.86,159.555,7.0,0.0,12.2
0.0,7.3500000000000005,99.09,150.04500000000002,7.0,0.0,15.4
0.0,7.1,98.32000000000001,138.755,0.0,0.0,10.9
0.0,6.8500000000000005,98.01500000000001,126.97,0.0,0.0,9.5
0.0,6.75,97.0,115.17000000000002,0.5,0.0,5.2
0.0,6.800000000000001,95.4,103.625,5.0,0.0,0.1
0.0,7.5,91.71000000000001,92.345,7.0,0.0,7.2
51.5,8.950000000000001,87.82,82.24000000000001,7.5,100.0,0.0
131.0,10.200000000000001,83.44,73.295,4.0,253.5,0.0
364.5,11.850000000000001,79.235,66.06,3.5,389.5,0.0
477.5,13.450000000000001,74.39,61.235,0.0,477.5,0.0
511.5,14.200000000000001,72.215,59.415000000000006,0.5,511.5,0.0
419.0,14.55,70.78999999999999,60.885000000000005,1.0,488.5,0.0
371.0,14.55,69.905,65.415,3.5,406.0,0.0
242.0,13.850000000000001,74.425,72.42,4.5,275.0,0.0
101.0,12.450000000000001,85.305,81.215,1.5,118.0,0.0
8.5,11.350000000000001,86.39500000000001,91.265,0.0,8.5,0.0
0.0,9.0,93.89,158.61,4.0,0.0,1.0
0.0,8.75,93.805,163.375,0.0,0.0,8.6
0.0,8.5,94.155,159.465,0.0,0.0,15.0
0.0,8.3,95.0,150.01,0.0,0.0,19.1
0.0,8.200000000000001,95.06,138.735,7.0,0.0,20.5
0.0,8.200000000000001,94.24,126.95500000000001,0.0,0.0,21.0
0.0,8.25,93.515,115.15,4.0,0.0,19.4
0.0,8.4,92.83500000000001,103.595,4.0,0.0,14.8
0.0,8.95,90.805,92.31,5.5,0.0,8.1
49.5,10.4,86.91,82.18,5.5,104.0,0.0
221.0,12.100000000000001,82.515,73.21000000000001,7.0,263.0,0.0
329.5,13.850000000000001,80.16499999999999,65.95,7.5,398.0,0.0
399.0,15.100000000000001,77.745,61.09,7.0,487.0,0.0
385.5,15.650000000000002,75.91,59.25,6.0,519.0,0.0
359.0,15.650000000000002,76.37,60.7,8.0,490.0,0.0
279.5,15.25,79.965,65.225,7.5,407.0,0.0
200.0,14.450000000000001,86.535,72.22999999999999,5.5,277.5,0.0
70.0,13.5,90.08,81.03,6.0,120.5,0.0
3.0,12.8,92.57499999999999,91.095,8.0,9.0,0.0
0.0,11.850000000000001,95.22,158.41500000000002,4.0,0.0,0.1
0.0,11.2,94.65,163.2,5.5,0.0,4.2
0.0,10.3,92.59,159.365,7.5,0.0,10.5
0.0,9.700000000000001,90.305,149.96,7.0,0.0,13.4
0.0,9.3,89.62,138.71,7.0,0.0,9.7
0.0,9.2,90.485,126.935,7.5,0.0,0.3
0.0,9.75,90.275,115.125,3.0,0.0,9.6
0.0,10.200000000000001,90.245,103.56,5.5,0.0,5.7
0.0,10.600000000000001,88.78999999999999,92.27000000000001,5.0,0.0,0.1
18.0,11.05,87.82,82.11500000000001,7.5,103.0,0.0
36.5,11.150000000000002,86.86000000000001,73.12,6.5,259.5,0.0
146.5,10.95,85.905,65.83500000000001,8.0,393.0,0.0
62.5,10.8,85.25,60.94,6.5,485.0,0.0
149.5,10.95,83.61500000000001,59.075,6.0,521.0,0.0
135.0,11.100000000000001,82.36,60.510000000000005,7.0,499.0,0.0
